Undergraduate Major,Group
Accounting,Business
Aerospace Engineering,STEM
Agriculture,Business
Anthropology,HASS
Architecture,Business
Art History,HASS
Biology,STEM
Business Management,Business
Chemical Engineering,STEM
Chemistry,STEM
Civil Engineering,STEM
Communications,HASS
Computer Engineering,STEM
Computer Science,STEM
Construction,Business
Criminal Justice,HASS
Drama,HASS
Economics,Business
Education,HASS
Electrical Engineering,STEM
English,HASS
Film,HASS
Finance,Business
Forestry,Business
Geography,HASS
Geology,STEM
Graphic Design,HASS
Health Care Administration,Business
History,HASS
Hospitality & Tourism,Business
Industrial Engineering,STEM
Information Technology (IT),STEM
Interior Design,HASS
International Relations,HASS
Journalism,HASS
Management Information Systems (MIS),STEM
Marketing,Business
Math,STEM
Mechanical Engineering,STEM
Music,HASS
Nursing,Business
Nutrition,HASS
Philosophy,HASS
Physician Assistant,STEM
Physics,STEM
Political Science,HASS
Psychology,HASS
Religion,HASS
Sociology,HASS
Spanish,HASS
