fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority,address_extended
5501,The Greenstone,"Napier Way, Dereham, Norfolk",NR19 1FS,622675,-5527598.0,52.6710271,0.9507949,Breckland,"Napier Way, Dereham, Norfolk, NR19 1FS, Breckland"
9360,Oyster Bay Sports & Wine Bar,"Unit 4, Casino Parade, Eastern Esplanade, Canvey Island",SS8 7FJ,622675,-5527598.0,,,Castle Point,"Unit 4, Casino Parade, Eastern Esplanade, Canvey Island, SS8 7FJ, Castle Point"
22968,The Mermaid Public House,"Yarmouth Road, Ipswich, Suffolk",IP1 2EN,622675,-5527598.0,52.0579575,1.1351133,Ipswich,"Yarmouth Road, Ipswich, Suffolk, IP1 2EN, Ipswich"
24359,The Gatehouse,"Kellard Place, King's Lynn, Norfolk",PE30 5DG,622675,-5527598.0,,,King's Lynn and West Norfolk,"Kellard Place, King's Lynn, Norfolk, PE30 5DG, King's Lynn and West Norfolk"
30970,The Shoe Maker,"1 The Lastings, Sandy Lane, Norwich",NR4 6EF,622675,-5527598.0,52.6072991,1.2892933382955265,Norwich,"1 The Lastings, Sandy Lane, Norwich, NR4 6EF, Norwich"
36035,Oyster Bar Brasserie & Sports Bar,"1 Richmond Avenue, Southend-On-Sea, Essex",SS1 1FP,622675,-5527598.0,,,Southend-on-Sea,"1 Richmond Avenue, Southend-On-Sea, Essex, SS1 1FP, Southend-on-Sea"
36526,The Saxon King,"160 Priory Crescent, Southend-On-Sea, Essex",SS2 6QN,622675,-5527598.0,,,Southend-on-Sea,"160 Priory Crescent, Southend-On-Sea, Essex, SS2 6QN, Southend-on-Sea"
51973,Sileby Town Football Club,"Senior Football Pitch, Recreation Ground, Southfield Avenue, Sileby",LE12 7WL,622675,-5527598.0,,,Charnwood,"Senior Football Pitch, Recreation Ground, Southfield Avenue, Sileby, LE12 7WL, Charnwood"
53147,The Little Castle,"Enterprise Way, Chesterfield, Derbyshire",S44 5FD,622675,-5527598.0,53.2449349,-1.3345302,Chesterfield,"Enterprise Way, Chesterfield, Derbyshire, S44 5FD, Chesterfield"
56290,Devonshire Arms,"Devonshire Square, Beeley, Derbyshire",DE4 2NZ,622675,-5527598.0,53.2033822,-1.605005,Derbyshire Dales,"Devonshire Square, Beeley, Derbyshire, DE4 2NZ, Derbyshire Dales"
56628,Red Lion Public House,"Main Street, Hollington, Derbyshire",DE6 3HA,622675,-5527598.0,52.9554323,-1.6608987,Derbyshire Dales,"Main Street, Hollington, Derbyshire, DE6 3HA, Derbyshire Dales"
76453,The Brickworks,"Unit 3b, Davisella House, Lower Eldon Street, Nottingham",NG2 4PL,622675,-5527598.0,,,Nottingham,"Unit 3b, Davisella House, Lower Eldon Street, Nottingham, NG2 4PL, Nottingham"
78288,The Old Buttercross,"The Old Buttercross, Panniers Way, Barleythorpe, Oakham",LE15 7US,622675,-5527598.0,52.68304765,-0.7410487942695216,Rutland,"The Old Buttercross, Panniers Way, Barleythorpe, Oakham, LE15 7US, Rutland"
80693,Stamford AFC,"Borderville Sports Centre, Ryhall Road, Stamford, Lincolnshire",PE9 1US,622675,-5527598.0,,,South Kesteven,"Borderville Sports Centre, Ryhall Road, Stamford, Lincolnshire, PE9 1US, South Kesteven"
80723,Sugar Mill,"The Sugar Mill, Milestone Road, Bourne, Lincolnshire",PE10 0ET,622675,-5527598.0,52.755386900000005,-0.3688695951761861,South Kesteven,"The Sugar Mill, Milestone Road, Bourne, Lincolnshire, PE10 0ET, South Kesteven"
81631,Royal Oak,"Whiston Road, Cogenhoe, Northamptonshire",NN7 1NJ,622675,-5527598.0,52.2269855,-0.7689519,South Northamptonshire,"Whiston Road, Cogenhoe, Northamptonshire, NN7 1NJ, South Northamptonshire"
98580,The Granaries,The Granaries Overton's Yard Croydon CR0 1SL,CR0 1SL,622675,-5527598.0,,,Croydon,"The Granaries Overton's Yard Croydon CR0 1SL, CR0 1SL, Croydon"
103307,The Kings Head,"9 Market Place, ENFIELD",EN2 6LL,622675,-5527598.0,52.3066723,-1.9405692,Enfield,"9 Market Place, ENFIELD, EN2 6LL, Enfield"
107947,Blue Boat,"The Blue Boat, Distillery Wharf, Parr's Way, London",W6 9GD,622675,-5527598.0,,,Hammersmith and Fulham,"The Blue Boat, Distillery Wharf, Parr's Way, London, W6 9GD, Hammersmith and Fulham"
121682,Kingston Sea Cadets,"Steadfast Sea Cadet Corps, Thameside, Kingston Upon Thames",KT1 1PX,622675,-5527598.0,,,Kingston upon Thames,"Steadfast Sea Cadet Corps, Thameside, Kingston Upon Thames, KT1 1PX, Kingston upon Thames"
132508,NPL Sports Club,"N P L Sports Club, Pavilion Road, Teddington",TW11 0EL,622675,-5527598.0,,,Richmond upon Thames,"N P L Sports Club, Pavilion Road, Teddington, TW11 0EL, Richmond upon Thames"
135966,The rose,"The Rose, 123, Snowsfields, London",SE1 3ST,622675,-5527598.0,51.5021916,-0.0855668,Southwark,"The Rose, 123, Snowsfields, London, SE1 3ST, Southwark"
143485,All Bar One,"60 Victoria Street, London",SW1E 6AN,622675,-5527598.0,51.4974984,-0.1367852,Westminster,"60 Victoria Street, London, SW1E 6AN, Westminster"
148630,The Woollen Mill,"Unit 3, Feethams Leisure, Feethams, DARLINGTON",DL1 5AD,622675,-5527598.0,,,Darlington,"Unit 3, Feethams Leisure, Feethams, DARLINGTON, DL1 5AD, Darlington"
149177,Burnopfield Cricket Club,"Burnopfield, Newcastle Upon Tyne",NE16 6ED,622675,-5527598.0,54.9062124,-1.7241561,County Durham,"Burnopfield, Newcastle Upon Tyne, NE16 6ED, County Durham"
149460,Consett AFC,"Belle View Stadium, Delves Lane, Consett",DH8 7BF,622675,-5527598.0,,,County Durham,"Belle View Stadium, Delves Lane, Consett, DH8 7BF, County Durham"
155132,The Stag & Monkey,"Brenda Road, Hartlepool",TS25 1SD,622675,-5527598.0,54.6682938,-1.2122834,Hartlepool,"Brenda Road, Hartlepool, TS25 1SD, Hartlepool"
156201,The Six Medals,Heath Road,TS3 6AT,622675,-5527598.0,54.5751225,-1.2163519,Middlesbrough,"Heath Road, TS3 6AT, Middlesbrough"
157056,Genting Casino,"Forth Street, Newcastle upon Tyne",NE1 3NP,622675,-5527598.0,54.9689331,-1.6122366,Newcastle upon Tyne,"Forth Street, Newcastle upon Tyne, NE1 3NP, Newcastle upon Tyne"
162519,St Mary's Inn,"St Mary Lane, St Mary Park, Morpeth",NE61 6BL,622675,-5527598.0,,,Northumberland,"St Mary Lane, St Mary Park, Morpeth, NE61 6BL, Northumberland"
