Category: All categories

Month,Unemployment Benefits: (Worldwide)
2004-01,13
2004-02,8
2004-03,9
2004-04,10
2004-05,9
2004-06,7
2004-07,7
2004-08,7
2004-09,6
2004-10,6
2004-11,6
2004-12,5
2005-01,6
2005-02,5
2005-03,5
2005-04,3
2005-05,5
2005-06,5
2005-07,6
2005-08,4
2005-09,5
2005-10,5
2005-11,6
2005-12,4
2006-01,5
2006-02,5
2006-03,4
2006-04,6
2006-05,4
2006-06,5
2006-07,6
2006-08,6
2006-09,5
2006-10,6
2006-11,5
2006-12,6
2007-01,7
2007-02,6
2007-03,6
2007-04,8
2007-05,6
2007-06,6
2007-07,7
2007-08,7
2007-09,8
2007-10,6
2007-11,7
2007-12,8
2008-01,9
2008-02,10
2008-03,7
2008-04,9
2008-05,9
2008-06,12
2008-07,10
2008-08,10
2008-09,15
2008-10,20
2008-11,23
2008-12,23
2009-01,31
2009-02,34
2009-03,24
2009-04,22
2009-05,22
2009-06,23
2009-07,25
2009-08,26
2009-09,24
2009-10,29
2009-11,29
2009-12,23
2010-01,22
2010-02,24
2010-03,30
2010-04,26
2010-05,19
2010-06,28
2010-07,40
2010-08,18
2010-09,15
2010-10,15
2010-11,17
2010-12,26
2011-01,17
2011-02,15
2011-03,13
2011-04,13
2011-05,12
2011-06,12
2011-07,11
2011-08,12
2011-09,11
2011-10,11
2011-11,10
2011-12,13
2012-01,12
2012-02,11
2012-03,9
2012-04,9
2012-05,9
2012-06,9
2012-07,10
2012-08,9
2012-09,10
2012-10,9
2012-11,10
2012-12,16
2013-01,16
2013-02,10
2013-03,9
2013-04,8
2013-05,9
2013-06,9
2013-07,9
2013-08,8
2013-09,9
2013-10,10
2013-11,7
2013-12,11
2014-01,24
2014-02,18
2014-03,16
2014-04,16
2014-05,11
2014-06,10
2014-07,7
2014-08,6
2014-09,6
2014-10,6
2014-11,6
2014-12,6
2015-01,6
2015-02,5
2015-03,6
2015-04,5
2015-05,5
2015-06,5
2015-07,5
2015-08,6
2015-09,5
2015-10,5
2015-11,5
2015-12,6
2016-01,6
2016-02,5
2016-03,5
2016-04,5
2016-05,5
2016-06,5
2016-07,4
2016-08,4
2016-09,4
2016-10,5
2016-11,4
2016-12,5
2017-01,5
2017-02,5
2017-03,5
2017-04,4
2017-05,4
2017-06,4
2017-07,5
2017-08,4
2017-09,4
2017-10,4
2017-11,4
2017-12,4
2018-01,5
2018-02,4
2018-03,4
2018-04,4
2018-05,4
2018-06,3
2018-07,4
2018-08,3
2018-09,3
2018-10,4
2018-11,4
2018-12,4
2019-01,5
2019-02,4
2019-03,4
2019-04,4
2019-05,4
2019-06,4
2019-07,4
2019-08,4
2019-09,4
2019-10,4
2019-11,4
2019-12,5
2020-01,5
2020-02,4
2020-03,46
2020-04,100
2020-05,53
2020-06,46
2020-07,50
2020-08,59
2020-09,38
2020-10,26
2020-11,22
2020-12,32
2021-01,34
2021-02,26
2021-03,28
2021-04,21
2021-05,23
2021-06,19
2021-07,16
